회사명,항목,외인,기관,개인,개반,법인,총점
에스티오,3년,71.7,59.7,62.6,37.4,26.8,56.3
에스티오,합산,83.3,30.0,61.8,38.2,25.8,50.5
모헨즈,1년,78.9,43.6,46.9,53.1,41.4,58.5
모헨즈,2년,77.2,41.1,31.1,68.9,37.6,62.4
모헨즈,3년,64.9,39.6,42.0,58.0,47.5,54.2
모헨즈,합산,73.7,41.4,40.0,60.0,42.2,58.4
누보,1년,81.1,57.0,19.0,81.0,27.9,73.0
누보,2년,35.6,45.8,58.6,41.4,45.0,40.9
누보,3년,21.7,74.2,29.0,71.0,70.9,55.6
누보,합산,46.1,59.0,35.5,64.5,47.9,56.5
프리시젼바이오,1년,81.1,94.1,4.7,95.3,38.4,90.2
프리시젼바이오,2년,79.0,89.2,10.1,89.9,23.2,86.0
프리시젼바이오,3년,61.8,83.2,17.5,82.5,38.1,75.8
프리시젼바이오,합산,74.0,88.8,10.8,89.2,33.2,84.0
휴네시온,1년,89.0,7.8,84.5,15.5,22.1,37.4
휴네시온,2년,69.0,14.4,78.7,21.3,31.5,34.9
휴네시온,3년,78.9,6.1,86.8,13.2,18.0,32.7
휴네시온,합산,79.0,9.4,83.3,16.7,23.9,35.0
메타랩스,1년,52.6,32.0,52.5,47.5,44.9,44.0
메타랩스,2년,56.5,75.6,66.1,33.9,8.6,55.3
메타랩스,3년,79.0,58.0,28.9,71.1,15.7,69.4
메타랩스,합산,62.7,55.2,49.2,50.8,23.1,56.2
무림SP,1년,63.8,,79.5,20.5,18.6,
무림SP,2년,94.1,96.7,23.9,76.1,16.2,89.0
무림SP,3년,94.1,65.4,10.1,89.9,17.8,83.1
무림SP,합산,84.0,81.1,37.8,62.2,17.5,86.0
엔젠바이오,1년,32.8,76.3,5.9,94.1,92.4,67.7
엔젠바이오,2년,79.1,87.8,5.3,94.7,91.7,87.2
엔젠바이오,3년,53.4,88.5,10.9,89.1,88.1,77.0
엔젠바이오,합산,55.1,84.2,7.4,92.6,90.7,77.3
디와이씨,1년,91.0,85.2,30.5,69.5,40.0,81.9
디와이씨,2년,90.8,59.6,17.3,82.7,54.1,77.7
디와이씨,3년,71.7,72.8,25.6,74.4,63.1,73.0
디와이씨,합산,84.5,72.5,24.5,75.5,52.4,77.5
에넥스,1년,84.1,73.0,17.6,82.4,46.3,79.8
에넥스,2년,96.3,43.3,6.7,93.3,65.1,77.6
에넥스,3년,74.3,61.1,24.1,75.9,62.8,70.4
에넥스,합산,84.9,59.1,16.1,83.9,58.1,75.9
라닉스,1년,36.9,31.4,61.2,38.8,73.1,35.7
라닉스,2년,75.8,38.9,24.5,75.5,64.8,63.4
라닉스,3년,56.9,41.5,40.0,60.0,72.0,52.8
라닉스,합산,56.5,37.3,41.9,58.1,70.0,50.6
유진테크놀로지,1년,45.9,77.9,22.8,77.2,71.6,67.0
유진테크놀로지,2년,37.8,84.7,15.8,84.2,81.0,68.9
유진테크놀로지,3년,37.8,84.7,15.8,84.2,81.0,68.9
유진테크놀로지,합산,40.5,82.4,18.1,81.9,77.9,68.3
버넥트,1년,12.1,95.0,24.5,75.5,87.5,60.9
버넥트,2년,19.3,95.5,10.1,89.9,85.1,68.2
버넥트,3년,19.3,95.5,10.1,89.9,85.1,68.2
버넥트,합산,16.9,95.3,14.9,85.1,85.9,65.8
온타이드,1년,83.0,88.7,74.4,25.6,19.6,65.8
온타이드,2년,92.2,87.3,9.4,90.6,41.9,90.0
온타이드,3년,59.1,70.4,34.5,65.5,59.5,65.0
온타이드,합산,78.1,82.1,39.4,60.6,40.3,73.6
크린앤사이언스,1년,76.4,44.6,22.4,77.6,68.5,66.2
크린앤사이언스,2년,92.9,86.1,5.3,94.7,87.3,91.2
크린앤사이언스,3년,92.0,81.6,5.4,94.6,77.9,89.4
크린앤사이언스,합산,87.1,70.8,11.0,89.0,77.9,82.3
바른손이앤에이,1년,97.3,37.7,9.4,90.6,3.4,75.2
바른손이앤에이,2년,96.0,88.7,6.4,93.6,30.4,92.8
바른손이앤에이,3년,85.3,83.2,12.6,87.4,48.7,85.3
바른손이앤에이,합산,92.9,69.9,9.5,90.5,27.5,84.4
코아시아씨엠,1년,77.6,76.9,21.5,78.5,49.5,77.7
코아시아씨엠,2년,67.3,71.8,30.9,69.1,69.4,69.4
코아시아씨엠,3년,65.4,77.7,18.7,81.3,78.7,74.8
코아시아씨엠,합산,70.1,75.5,23.7,76.3,65.9,74.0
밸로프,1년,74.4,8.4,37.0,63.0,91.5,48.6
밸로프,2년,84.7,21.9,10.5,89.5,91.9,65.4
밸로프,3년,83.7,70.3,5.4,94.6,95.2,82.9
밸로프,합산,80.9,33.5,17.6,82.4,92.9,65.6
에이에프더블류,1년,93.9,83.3,64.9,35.1,3.5,70.8
에이에프더블류,2년,84.8,59.7,37.3,62.7,3.9,69.1
에이에프더블류,3년,67.6,76.5,47.5,52.5,14.2,65.5
에이에프더블류,합산,82.1,73.2,49.9,50.1,7.2,68.5
신원종합개발,1년,39.5,69.8,53.5,46.5,71.1,51.9
신원종합개발,2년,80.8,33.1,17.1,82.9,76.3,65.6
신원종합개발,3년,45.0,45.4,54.7,45.3,62.5,45.2
신원종합개발,합산,55.1,49.4,41.8,58.2,70.0,54.2
셀바이오휴먼텍,1년,75.0,18.9,73.8,26.2,54.7,40.0
셀바이오휴먼텍,2년,23.8,81.0,17.2,82.8,88.7,62.5
셀바이오휴먼텍,3년,23.8,81.0,17.2,82.8,88.7,62.5
셀바이오휴먼텍,합산,40.9,60.3,36.1,63.9,77.4,55.0
한빛소프트,1년,39.4,71.3,54.3,45.7,34.3,52.1
한빛소프트,2년,47.1,86.0,24.2,75.8,66.1,69.6
한빛소프트,3년,39.1,93.8,14.2,85.8,76.1,72.9
한빛소프트,합산,41.9,83.7,30.9,69.1,58.8,64.9
코퍼스코리아,1년,33.1,86.6,24.1,75.9,2.0,65.2
코퍼스코리아,2년,48.4,93.5,7.1,92.9,40.6,78.3
코퍼스코리아,3년,44.5,90.8,10.2,89.8,35.4,75.0
코퍼스코리아,합산,42.0,90.3,13.8,86.2,26.0,72.8
이노룰스,1년,61.5,76.2,72.6,27.4,25.9,55.0
이노룰스,2년,66.2,71.4,66.2,33.8,23.4,57.1
이노룰스,3년,54.1,79.9,29.8,70.2,49.3,68.1
이노룰스,합산,60.6,75.8,56.2,43.8,32.9,60.1
참엔지니어링,1년,61.9,62.7,39.8,60.2,29.9,61.6
참엔지니어링,2년,74.1,90.0,22.2,77.8,83.2,80.6
참엔지니어링,3년,83.9,88.7,6.2,93.8,92.3,88.8
참엔지니어링,합산,73.3,80.5,22.7,77.3,68.5,77.0
부스타,1년,92.0,94.3,6.9,93.1,8.4,93.1
부스타,2년,97.5,93.6,3.0,97.0,14.7,96.0
부스타,3년,96.8,56.6,19.5,80.5,12.9,78.0
부스타,합산,95.4,81.5,9.8,90.2,12.0,89.0
압타머사이언스,1년,20.7,76.7,24.7,75.3,80.3,57.6
압타머사이언스,2년,42.2,69.1,26.5,73.5,83.1,61.6
압타머사이언스,3년,61.5,62.8,25.0,75.0,89.6,66.4
압타머사이언스,합산,41.5,69.5,25.4,74.6,84.3,61.9
원일특강,1년,79.0,10.1,94.6,5.4,5.9,31.5
원일특강,2년,95.4,18.5,51.4,48.6,4.2,54.2
원일특강,3년,92.6,84.7,19.7,80.3,5.0,85.9
원일특강,합산,89.0,37.8,55.2,44.8,5.0,57.2
서울리거,1년,79.0,57.4,40.1,59.9,56.9,65.4
서울리거,2년,94.2,45.3,44.0,56.0,26.7,65.2
서울리거,3년,81.9,21.2,48.6,51.4,17.5,51.5
서울리거,합산,85.0,41.3,44.2,55.8,33.7,60.7
CS,1년,79.0,41.1,23.6,76.4,81.6,65.5
CS,2년,86.2,66.2,17.3,82.7,64.2,78.4
CS,3년,81.8,28.7,19.4,80.6,62.9,63.7
CS,합산,82.3,45.3,20.1,79.9,69.6,69.2
DH오토웨어,1년,19.2,45.1,64.2,35.8,88.0,33.4
DH오토웨어,2년,32.6,32.1,53.2,46.8,76.1,37.2
DH오토웨어,3년,49.1,15.9,40.1,59.9,59.6,41.6
DH오토웨어,합산,33.6,31.0,52.5,47.5,74.6,37.4
링크드,1년,66.1,52.7,31.0,69.0,62.0,62.6
링크드,2년,91.5,82.6,8.1,91.9,89.1,88.7
링크드,3년,68.0,56.3,26.4,73.6,85.0,66.0
링크드,합산,75.2,63.9,21.8,78.2,78.7,72.4
쎄노텍,1년,91.0,91.4,12.4,87.6,9.3,90.0
쎄노텍,2년,76.6,74.9,26.1,73.9,11.4,75.1
쎄노텍,3년,78.3,78.7,21.3,78.7,67.7,78.6
쎄노텍,합산,82.0,81.7,19.9,80.1,29.5,81.2
모코엠시스,1년,74.2,27.3,72.4,27.6,68.4,43.0
모코엠시스,2년,84.0,56.2,30.5,69.5,85.4,69.9
모코엠시스,3년,41.0,81.9,14.2,85.8,90.6,69.6
모코엠시스,합산,66.4,55.1,39.0,61.0,81.5,60.8
아이스크림에듀,1년,77.0,37.7,26.5,73.5,17.6,62.7
아이스크림에듀,2년,85.2,41.0,16.5,83.5,28.5,69.9
아이스크림에듀,3년,56.1,45.7,46.7,53.3,37.8,51.7
아이스크림에듀,합산,72.8,41.5,29.9,70.1,28.0,61.4
전방,1년,84.5,80.0,26.3,73.7,11.7,79.4
전방,2년,80.1,70.1,89.2,10.8,1.5,53.7
전방,3년,50.5,74.9,90.0,10.0,8.0,45.1
전방,합산,71.7,75.0,68.5,31.5,7.1,59.4
원림,1년,89.8,30.1,9.7,90.3,76.2,70.1
원림,2년,86.4,64.2,7.6,92.4,44.2,81.0
원림,3년,66.9,61.4,30.5,69.5,49.8,65.9
원림,합산,81.0,51.9,15.9,84.1,56.7,72.3
비큐AI,1년,79.5,25.7,20.2,79.8,74.2,61.7
비큐AI,2년,62.0,42.2,50.2,49.8,40.4,51.3
비큐AI,3년,31.3,96.7,17.5,82.5,83.0,70.2
비큐AI,합산,57.6,54.9,29.3,70.7,65.9,61.1
협진,1년,39.3,52.3,28.4,71.6,76.9,54.4
협진,2년,71.2,89.3,18.8,81.2,37.2,80.6
협진,3년,71.2,89.3,18.8,81.2,37.2,80.6
협진,합산,60.6,77.0,22.0,78.0,50.4,71.9
성우테크론,1년,98.1,69.3,1.9,98.1,4.7,88.5
성우테크론,2년,91.8,65.3,6.9,93.1,66.9,83.4
성우테크론,3년,83.7,64.6,16.1,83.9,51.2,77.4
성우테크론,합산,91.2,66.4,8.3,91.7,40.9,83.1
디지캡,1년,89.4,62.4,10.0,90.0,86.0,80.6
디지캡,2년,60.4,78.9,12.9,87.1,90.1,75.5
디지캡,3년,64.2,66.9,30.8,69.2,58.2,66.8
디지캡,합산,71.3,69.4,17.9,82.1,78.1,74.3
조아제약,1년,83.9,86.3,15.8,84.2,26.4,84.8
조아제약,2년,91.5,69.0,8.6,91.4,44.5,84.0
조아제약,3년,87.5,53.7,12.5,87.5,54.2,76.2
조아제약,합산,87.6,69.7,12.3,87.7,41.7,81.7
이화산업,1년,74.5,91.0,5.9,94.1,32.2,86.5
이화산업,2년,62.9,47.2,38.3,61.7,33.2,57.3
이화산업,3년,59.1,45.6,42.6,57.4,37.5,54.0
이화산업,합산,65.5,61.3,28.9,71.1,34.3,65.9
신화콘텍,1년,92.2,6.7,14.6,85.4,43.3,61.4
신화콘텍,2년,80.6,31.6,21.2,78.8,54.2,63.7
신화콘텍,3년,58.6,50.4,42.1,57.9,43.3,55.6
신화콘텍,합산,77.1,29.6,26.0,74.0,46.9,60.2
경인전자,1년,68.8,67.6,30.4,69.6,56.6,68.7
경인전자,2년,73.4,68.7,27.2,72.8,71.9,71.6
경인전자,3년,86.0,55.5,19.2,80.8,65.9,74.1
경인전자,합산,76.1,63.9,25.6,74.4,64.8,71.5
엑시온그룹,1년,59.8,44.1,8.4,91.6,89.3,65.2
엑시온그룹,2년,64.0,76.6,7.2,92.8,90.5,77.8
엑시온그룹,3년,45.7,49.0,21.6,78.4,88.1,57.7
엑시온그룹,합산,56.5,56.6,12.4,87.6,89.3,66.9
에스씨엠생명과학,1년,59.1,21.2,56.4,43.6,36.4,41.3
에스씨엠생명과학,2년,53.9,91.9,9.4,90.6,24.2,78.8
에스씨엠생명과학,3년,81.6,90.7,8.2,91.8,22.1,88.0
에스씨엠생명과학,합산,64.9,67.9,24.7,75.3,27.6,69.4
에스에이티이엔지,1년,87.0,92.6,23.3,76.7,6.1,85.4
에스에이티이엔지,2년,75.0,88.8,30.2,69.8,9.9,77.9
에스에이티이엔지,3년,48.4,76.0,21.6,78.4,77.6,67.6
에스에이티이엔지,합산,70.1,85.8,25.0,75.0,31.2,77.0
SGA솔루션즈,1년,88.9,13.6,87.6,12.4,3.1,38.3
SGA솔루션즈,2년,92.6,6.4,20.4,79.6,16.3,59.5
SGA솔루션즈,3년,80.0,49.6,25.5,74.5,30.3,68.0
SGA솔루션즈,합산,87.2,23.2,44.5,55.5,16.6,55.3
휴림에이텍,1년,77.1,87.7,13.4,86.6,83.3,83.8
휴림에이텍,2년,84.8,90.5,9.8,90.2,87.9,88.5
휴림에이텍,3년,84.8,90.5,9.8,90.2,87.9,88.5
휴림에이텍,합산,82.2,89.6,11.0,89.0,86.4,86.9
나노씨엠에스,1년,65.2,27.1,40.1,59.9,73.9,50.7
나노씨엠에스,2년,56.7,63.8,28.5,71.5,90.7,64.0
나노씨엠에스,3년,52.0,75.4,34.1,65.9,88.1,64.4
나노씨엠에스,합산,58.0,55.4,34.2,65.8,84.2,59.7
영우디에스피,1년,90.8,11.3,19.6,80.4,46.5,60.8
영우디에스피,2년,94.8,29.1,5.5,94.5,58.5,72.8
영우디에스피,3년,72.6,6.8,18.1,81.9,84.7,53.8
영우디에스피,합산,86.1,15.7,14.4,85.6,63.2,62.5
웰크론한텍,1년,78.4,92.1,22.2,77.8,6.7,82.8
웰크론한텍,2년,40.0,81.4,34.4,65.6,61.0,62.3
웰크론한텍,3년,51.6,77.1,31.4,68.6,67.1,65.8
웰크론한텍,합산,56.7,83.5,29.3,70.7,44.9,70.3
케이바이오,1년,50.3,60.3,38.6,61.4,59.3,57.3
케이바이오,2년,61.8,24.4,71.5,28.5,30.9,38.2
케이바이오,3년,56.6,18.3,37.8,62.2,69.6,45.7
케이바이오,합산,56.2,34.3,49.3,50.7,53.3,47.1
대한방직,1년,79.3,93.8,20.1,79.9,5.7,84.3
대한방직,2년,58.3,71.3,52.9,47.1,1.8,58.9
대한방직,3년,57.4,79.7,33.0,67.0,64.8,68.0
대한방직,합산,65.0,81.6,35.3,64.7,24.1,70.4
아이앤씨,1년,90.6,12.6,79.7,20.3,39.6,41.2
아이앤씨,2년,69.7,18.9,76.3,23.7,50.6,37.4
아이앤씨,3년,41.9,18.1,81.2,18.8,53.5,26.3
아이앤씨,합산,67.4,16.5,79.1,20.9,47.9,35.0
피엠티,1년,82.6,69.3,12.9,87.1,67.4,79.7
피엠티,2년,78.2,63.1,19.1,80.9,59.3,74.1
피엠티,3년,82.6,79.0,54.2,45.8,32.7,69.1
피엠티,합산,81.1,70.5,28.7,71.3,53.1,74.3
팜스빌,1년,23.0,45.1,68.3,31.7,59.9,33.3
팜스빌,2년,23.3,7.1,92.9,7.1,45.7,12.5
팜스빌,3년,72.1,11.4,55.1,44.9,81.4,42.8
팜스빌,합산,39.5,21.2,72.1,27.9,62.3,29.5
한주라이트메탈,1년,33.1,94.9,4.8,95.2,61.2,74.4
한주라이트메탈,2년,45.5,93.2,8.0,92.0,69.7,76.9
한주라이트메탈,3년,45.5,93.2,8.0,92.0,69.7,76.9
한주라이트메탈,합산,41.4,93.8,6.9,93.1,66.9,76.1
젠큐릭스,1년,46.4,96.6,7.4,92.6,88.3,78.5
젠큐릭스,2년,56.5,81.0,20.9,79.1,71.7,72.2
젠큐릭스,3년,30.9,86.1,15.8,84.2,80.4,67.1
젠큐릭스,합산,44.6,87.9,14.7,85.3,80.1,72.6
S&K폴리텍,1년,65.4,42.8,36.9,63.1,55.0,57.1
S&K폴리텍,2년,74.3,18.0,46.7,53.3,9.5,48.5
S&K폴리텍,3년,87.8,20.4,24.4,75.6,7.9,61.3
S&K폴리텍,합산,75.8,27.1,36.0,64.0,24.1,55.6
WISCOM,1년,59.1,27.1,85.3,14.7,20.1,33.6
WISCOM,2년,66.1,39.3,37.5,62.5,35.0,56.0
WISCOM,3년,88.5,39.2,12.4,87.6,21.5,71.8
WISCOM,합산,71.2,35.2,45.1,54.9,25.5,53.8
빛샘전자,1년,77.8,90.0,18.6,81.4,69.1,83.1
빛샘전자,2년,63.7,62.9,35.7,64.3,49.1,63.6
빛샘전자,3년,72.9,24.9,29.2,70.8,63.4,56.2
빛샘전자,합산,71.5,59.3,27.8,72.2,60.5,67.6
휴럼,1년,64.0,89.1,12.1,87.9,84.7,80.3
휴럼,2년,79.1,74.6,15.9,84.1,86.1,79.3
휴럼,3년,44.6,90.2,8.8,91.2,90.1,75.3
휴럼,합산,62.6,84.6,12.3,87.7,87.0,78.3
바이오인프라,1년,70.1,37.1,43.5,56.5,39.4,54.6
바이오인프라,2년,40.4,79.9,50.4,49.6,42.4,56.6
바이오인프라,3년,40.4,79.9,50.4,49.6,42.4,56.6
바이오인프라,합산,50.3,65.6,48.1,51.9,41.4,55.9
한성기업,1년,48.5,65.6,41.5,58.5,39.9,57.5
한성기업,2년,55.5,69.0,36.8,63.2,35.2,62.6
한성기업,3년,45.5,57.3,47.5,52.5,52.5,51.8
한성기업,합산,49.8,64.0,41.9,58.1,42.5,57.3
한주에이알티,1년,86.3,71.7,10.4,89.6,75.9,82.5
한주에이알티,2년,83.8,45.2,14.3,85.7,79.1,71.6
한주에이알티,3년,85.0,38.0,13.6,86.4,82.4,69.8
한주에이알티,합산,85.0,51.6,12.8,87.2,79.1,74.6
솔트웨어,1년,81.4,59.2,18.4,81.6,37.1,74.1
솔트웨어,2년,63.0,58.0,39.2,60.8,52.3,60.6
솔트웨어,3년,37.1,83.6,16.4,83.6,81.4,68.1
솔트웨어,합산,60.5,66.9,24.7,75.3,56.9,67.6
지엔코,1년,60.0,51.9,33.2,66.8,76.3,59.6
지엔코,2년,75.5,35.0,26.3,73.7,66.5,61.4
지엔코,3년,90.8,33.8,9.0,91.0,74.7,71.9
지엔코,합산,75.4,40.2,22.8,77.2,72.5,64.3
에스엘에스바이오,1년,31.6,18.5,68.4,31.6,50.6,27.2
에스엘에스바이오,2년,36.9,77.5,25.5,74.5,64.3,63.0
에스엘에스바이오,3년,35.2,78.1,23.8,76.2,64.8,63.2
에스엘에스바이오,합산,34.6,58.0,39.2,60.8,59.9,51.1
시큐센,1년,61.3,82.2,24.2,75.8,30.5,73.1
시큐센,2년,79.4,83.9,17.2,82.8,75.6,82.0
시큐센,3년,73.2,71.8,29.0,71.0,66.3,72.0
시큐센,합산,71.3,79.3,23.5,76.5,57.5,75.7
형지I&C,1년,62.9,48.7,62.9,37.1,35.4,49.6
형지I&C,2년,89.9,77.9,17.7,82.3,50.5,83.4
형지I&C,3년,39.7,96.0,5.2,94.8,77.4,76.8
형지I&C,합산,64.2,74.2,28.6,71.4,54.4,69.9
율촌,1년,91.4,93.1,2.2,97.8,91.6,94.1
율촌,2년,46.0,94.0,6.1,93.9,86.7,78.0
율촌,3년,46.0,94.0,6.1,93.9,86.7,78.0
율촌,합산,61.1,93.7,4.8,95.2,88.3,83.4
우리엔터프라이즈,1년,60.6,83.5,18.2,81.8,60.1,75.3
우리엔터프라이즈,2년,80.9,35.3,23.7,76.3,40.5,64.2
우리엔터프라이즈,3년,70.0,26.5,49.7,50.3,18.8,48.9
우리엔터프라이즈,합산,70.5,48.4,30.5,69.5,39.8,62.8
진바이오텍,1년,86.4,91.3,12.0,88.0,23.8,88.6
진바이오텍,2년,71.8,85.8,20.2,79.8,70.2,79.1
진바이오텍,3년,43.1,81.5,47.5,52.5,61.2,59.0
진바이오텍,합산,67.1,86.2,26.6,73.4,51.7,75.6
플레이위드,1년,28.3,78.4,77.1,22.9,8.6,43.2
플레이위드,2년,25.2,64.2,78.9,21.1,12.6,36.8
플레이위드,3년,28.1,84.1,69.8,30.2,19.0,47.5
플레이위드,합산,27.2,75.6,75.3,24.7,13.4,42.5
우정바이오,1년,51.0,35.2,66.1,33.9,33.7,40.0
우정바이오,2년,32.4,66.6,26.0,74.0,89.9,57.7
우정바이오,3년,40.0,69.7,23.7,76.3,84.5,62.0
우정바이오,합산,41.1,57.2,38.6,61.4,69.4,53.2
비츠로시스,1년,74.3,44.8,23.3,76.7,59.3,65.3
비츠로시스,2년,67.0,86.6,17.9,82.1,40.7,78.6
비츠로시스,3년,49.9,93.7,7.8,92.2,67.2,78.6
비츠로시스,합산,63.7,75.0,16.3,83.7,55.7,74.2
피앤씨테크,1년,82.4,74.3,66.6,33.4,18.1,63.4
피앤씨테크,2년,82.0,65.5,63.2,36.8,16.8,61.4
피앤씨테크,3년,72.8,53.3,58.2,41.8,23.9,56.0
피앤씨테크,합산,79.1,64.4,62.7,37.3,19.6,60.3
세중,1년,85.3,27.3,83.8,16.2,5.6,42.9
세중,2년,81.7,63.7,37.2,62.8,12.3,69.4
세중,3년,89.2,54.1,15.8,84.2,26.4,75.8
세중,합산,85.4,48.4,45.6,54.4,14.8,62.7
이엠앤아이,1년,91.1,64.1,7.3,92.7,85.3,82.6
이엠앤아이,2년,57.0,81.0,10.5,89.5,94.0,75.8
이엠앤아이,3년,40.4,78.1,18.3,81.7,90.4,66.7
이엠앤아이,합산,62.8,74.4,12.0,88.0,89.9,75.0
세기상사,1년,53.8,21.7,76.1,23.9,21.4,33.1
세기상사,2년,66.6,18.3,77.6,22.4,13.6,35.8
세기상사,3년,87.5,81.0,34.9,65.1,10.3,77.9
세기상사,합산,69.3,40.3,62.9,37.1,15.1,48.9
하이즈항공,1년,82.1,8.4,89.4,10.6,68.2,33.7
하이즈항공,2년,86.5,70.7,13.7,86.3,64.8,81.2
하이즈항공,3년,73.2,85.9,9.3,90.7,61.3,83.3
하이즈항공,합산,80.6,55.0,37.5,62.5,64.8,66.1
셀레믹스,1년,33.9,60.0,65.2,34.8,62.3,42.9
셀레믹스,2년,37.2,84.8,49.3,50.7,86.2,57.6
셀레믹스,3년,52.3,93.9,26.0,74.0,89.6,73.4
셀레믹스,합산,41.1,79.6,46.8,53.2,79.4,58.0
정원엔시스,1년,86.8,92.8,4.6,95.4,96.7,91.7
정원엔시스,2년,84.2,39.1,10.5,89.5,80.2,70.9
정원엔시스,3년,78.5,9.8,41.0,59.0,90.7,49.1
정원엔시스,합산,83.2,47.2,18.7,81.3,89.2,70.6
아이티아이즈,1년,87.0,85.6,40.3,59.7,36.7,77.4
아이티아이즈,2년,66.7,16.3,79.9,20.1,24.2,34.4
아이티아이즈,3년,57.7,82.5,20.5,79.5,23.4,73.2
아이티아이즈,합산,70.5,61.5,46.9,53.1,28.1,61.7
에스에너지,1년,85.7,63.5,23.2,76.8,32.3,75.3
에스에너지,2년,87.0,89.1,10.4,89.6,72.2,88.6
에스에너지,3년,83.6,72.9,15.0,85.0,77.0,80.5
에스에너지,합산,85.4,75.2,16.2,83.8,60.5,81.5
피씨엘,1년,40.0,85.0,29.7,70.3,73.6,65.1
피씨엘,2년,92.6,82.6,6.9,93.1,66.5,89.4
피씨엘,3년,78.0,83.2,20.1,79.9,63.1,80.4
피씨엘,합산,70.2,83.6,18.9,81.1,67.7,78.3
태원물산,1년,90.1,61.9,18.9,81.1,10.7,77.7
태원물산,2년,48.7,73.8,52.4,47.6,20.5,56.7
태원물산,3년,51.7,49.6,69.8,30.2,22.0,43.8
태원물산,합산,63.5,61.8,47.0,53.0,17.7,59.4
ES큐브,1년,58.9,88.8,80.0,20.0,20.2,55.9
ES큐브,2년,51.9,88.4,78.8,21.2,18.1,53.8
ES큐브,3년,56.5,68.4,80.0,20.0,19.4,48.3
ES큐브,합산,55.8,81.9,79.6,20.4,19.2,52.7
아즈텍WB,1년,92.9,28.2,12.7,87.3,34.9,69.5
아즈텍WB,2년,95.6,32.8,6.8,93.2,8.4,73.9
아즈텍WB,3년,96.1,36.1,6.3,93.7,6.8,75.3
아즈텍WB,합산,94.9,32.4,8.6,91.4,16.7,72.9
비비안,1년,57.4,80.6,29.3,70.7,88.0,69.6
비비안,2년,88.0,64.1,11.6,88.4,86.6,80.2
비비안,3년,72.3,46.7,29.2,70.8,75.2,63.3
비비안,합산,72.6,63.8,23.4,76.6,83.3,71.0
알로이스,1년,82.3,67.7,65.6,34.4,19.5,61.5
알로이스,2년,79.8,38.1,40.4,59.6,24.7,59.2
알로이스,3년,65.6,72.0,44.7,55.3,32.4,64.3
알로이스,합산,75.9,59.3,50.2,49.8,25.5,61.7
동양에스텍,1년,81.5,58.7,21.8,78.2,64.7,72.8
동양에스텍,2년,65.0,56.2,27.9,72.1,78.0,64.4
동양에스텍,3년,78.0,55.2,22.6,77.4,55.5,70.2
동양에스텍,합산,74.8,56.7,24.1,75.9,66.1,69.1
삼영에스앤씨,1년,60.1,60.2,38.0,62.0,63.8,60.8
삼영에스앤씨,2년,72.7,62.4,25.5,74.5,72.7,69.9
삼영에스앤씨,3년,53.0,80.5,21.0,79.0,79.5,70.8
삼영에스앤씨,합산,61.9,67.7,28.2,71.8,72.0,67.2
지란지교시큐리티,1년,70.8,7.9,82.6,17.4,94.5,32.0
지란지교시큐리티,2년,84.6,8.3,86.4,13.6,93.3,35.5
지란지교시큐리티,3년,76.3,14.1,82.0,18.0,85.0,36.1
지란지교시큐리티,합산,77.2,10.1,83.7,16.3,90.9,34.5
코아스,1년,70.9,44.0,36.2,63.8,13.7,59.6
코아스,2년,57.1,47.0,50.3,49.7,39.6,51.3
코아스,3년,73.7,41.2,30.0,70.0,45.7,61.6
코아스,합산,67.2,44.1,38.8,61.2,33.0,57.5
동일제강,1년,94.1,16.4,81.1,18.9,5.7,43.1
동일제강,2년,89.3,9.7,84.4,15.6,7.8,38.2
동일제강,3년,78.4,19.0,63.2,36.8,16.5,44.7
동일제강,합산,87.3,15.0,76.2,23.8,10.0,42.0
풍강,1년,85.3,83.6,18.8,81.2,61.3,83.4
풍강,2년,85.4,62.4,61.0,39.0,19.0,62.3
풍강,3년,84.6,73.1,31.1,68.9,22.8,75.5
풍강,합산,85.1,73.0,37.0,63.0,34.4,73.7
뉴인텍,1년,97.4,40.9,2.2,97.8,85.5,78.7
뉴인텍,2년,26.8,96.7,2.9,97.1,97.1,73.5
뉴인텍,3년,15.6,95.3,7.1,92.9,96.2,67.9
뉴인텍,합산,46.6,77.6,4.1,95.9,92.9,73.4
휴림네트웍스,1년,68.2,69.9,29.5,70.5,69.4,69.5
휴림네트웍스,2년,91.0,75.2,4.9,95.1,94.3,87.1
휴림네트웍스,3년,95.0,89.3,5.9,94.1,92.9,92.8
휴림네트웍스,합산,84.7,78.1,13.4,86.6,85.5,83.1
앤씨앤,1년,52.1,56.4,42.9,57.1,52.6,55.2
앤씨앤,2년,66.5,70.5,28.4,71.6,68.0,69.5
앤씨앤,3년,43.3,94.8,5.1,94.9,96.4,77.7
앤씨앤,합산,54.0,73.9,25.5,74.5,72.3,67.5
아센디오,1년,47.7,84.0,14.3,85.7,85.3,72.5
아센디오,2년,50.8,47.1,32.9,67.1,68.3,55.0
아센디오,3년,44.2,61.7,26.4,73.6,74.1,59.8
아센디오,합산,47.6,64.3,24.5,75.5,75.9,62.4
우진비앤지,1년,78.1,59.6,18.2,81.8,11.9,73.2
우진비앤지,2년,75.3,32.9,34.5,65.5,20.8,57.9
우진비앤지,3년,76.5,53.6,11.3,88.7,90.8,72.9
우진비앤지,합산,76.6,48.7,21.3,78.7,41.2,68.0
기산텔레콤,1년,97.9,70.2,2.1,97.9,57.7,88.7
기산텔레콤,2년,95.4,83.8,4.7,95.3,53.6,91.5
